"tarifit","nl","en","cefr_oud","woordsoort","cefr_nieuw","thema","zekerheid","tags_nieuw"
"cikli","Kauwgom","Chewing gum","B2","ww","A2","eten & drinken","auto","tarifit::cefr::A2 tarifit::woordsoort::ww tarifit::thema::eten"
"cmes","verpakken, inpakken","packing, wrapping","B1","ww","B1","handelingen","auto","tarifit::cefr::B1 tarifit::woordsoort::ww tarifit::thema::doen"
"cmez","krabben","to scratch","B1","ww","B1","lichaam","auto","tarifit::cefr::B1 tarifit::woordsoort::ww tarifit::thema::lich"
"cneɛ","trots","proud","B1","ww","A2","gevoel & denken","auto","tarifit::cefr::A2 tarifit::woordsoort::ww tarifit::thema::gev"
"cqa","geven om (+ IO)","care about (+ IO)","B1","ww","B1","gevoel & denken","auto","tarifit::cefr::B1 tarifit::woordsoort::ww tarifit::thema::gev"
"cra","Huren","Rent","B1","ww","A2","handel & geld","auto","tarifit::cefr::A2 tarifit::woordsoort::ww tarifit::thema::hdl"
"cuaḏu","vlo","flea","B2","ww","B1","dieren","auto","tarifit::cefr::B1 tarifit::woordsoort::ww tarifit::thema::dier"
"cway","een beetje (~ cwayṯ)","a little (~cwayṯ)","B1","znw","A1","getallen & hoeveelheid","auto","tarifit::cefr::A1 tarifit::woordsoort::znw tarifit::thema::get"
"cway cway","langzaam","slowly","C1","ww","A1","eigenschappen & kleuren","auto","tarifit::cefr::A1 tarifit::woordsoort::ww tarifit::thema::eig"
"cway cwayṯ","Voorzichtig","Careful","C1","ww","A1","eigenschappen & kleuren","auto","tarifit::cefr::A1 tarifit::woordsoort::ww tarifit::thema::eig"
"cxaa","snurken","snoring","B1","ww","B1","lichaam","auto","tarifit::cefr::B1 tarifit::woordsoort::ww tarifit::thema::lich"
"cḏeḥ","dansen","dancing","B1","ww","A1","muziek & kunst","auto","tarifit::cefr::A1 tarifit::woordsoort::ww tarifit::thema::muz"
"cṛaḍa","Salade","Salad","B2","ww","A1","eten & drinken","auto","tarifit::cefr::A1 tarifit::woordsoort::ww tarifit::thema::eten"
"daweḏha","Geweldig","Great","B2","ww","A1","eigenschappen & kleuren","auto","tarifit::cefr::A1 tarifit::woordsoort::ww tarifit::thema::eig"
"ddafeɛ","verdedigen","defend","B2","ww","A2","samenleving & volken","auto","tarifit::cefr::A2 tarifit::woordsoort::ww tarifit::thema::sam"
"ddariḇa","Belasting","Tax","B2","ww","A2","samenleving & volken","auto","tarifit::cefr::A2 tarifit::woordsoort::ww tarifit::thema::sam"
"ddars","les","lesson","B2","ww","A1","taal & school & communicatie","auto","tarifit::cefr::A1 tarifit::woordsoort::ww tarifit::thema::taal"
"ddat","lichaam","body","B1","ww","A1","lichaam","auto","tarifit::cefr::A1 tarifit::woordsoort::ww tarifit::thema::lich"
"ddcaa","dorp","village","B2","ww","A1","plaats & richting & geografie","auto","tarifit::cefr::A1 tarifit::woordsoort::ww tarifit::thema::pl"
"ddebbuz","de knuppel","the bat","B2","znw","B2","gereedschap & materiaal","auto","tarifit::cefr::B2 tarifit::woordsoort::znw tarifit::thema::ger"
"ddegg","vreemd ding","strange thing","B2","ww","B2","overig","auto","tarifit::cefr::B2 tarifit::woordsoort::ww tarifit::thema::ov"
"ddellɛ","watermeloen (collectief)","watermelon (collective)","B2","ww","A2","eten & drinken","auto","tarifit::cefr::A2 tarifit::woordsoort::ww tarifit::thema::eten"
"ddemneṯ","de savanne","the savannah","B2","znw","B1","natuur & weer","auto","tarifit::cefr::B1 tarifit::woordsoort::znw tarifit::thema::nat"
"ddenfiř","de dolfijn","the dolphin","B2","znw","A2","dieren","auto","tarifit::cefr::A2 tarifit::woordsoort::znw tarifit::thema::dier"
"ddenya / lɛalam","wereld","world","B2","ww","A1","samenleving & volken","auto","tarifit::cefr::A1 tarifit::woordsoort::ww tarifit::thema::sam"
"ddexxan","rook","smoke","B2","ww","A2","natuur & weer","auto","tarifit::cefr::A2 tarifit::woordsoort::ww tarifit::thema::nat"
"ddez","stampen, platslaan","stomp, crush","B1","ww","B1","handelingen","auto","tarifit::cefr::B1 tarifit::woordsoort::ww tarifit::thema::doen"
"ddhen aḥuři","ghee","ghee","C2","ww","B2","eten & drinken","auto","tarifit::cefr::B2 tarifit::woordsoort::ww tarifit::thema::eten"
"ddin","godsdienst, religie","religion","B1","znw_m_ev","A2","religie & leven-dood","auto","tarifit::cefr::A2 tarifit::woordsoort::znw_m_ev tarifit::thema::rel"
"ddiseṭ","zwangerschap","pregnancy","B2","ww","A2","familie & mensen","auto","tarifit::cefr::A2 tarifit::woordsoort::ww tarifit::thema::fam"
"ddisku","lied","song","B2","ww","A1","muziek & kunst","auto","tarifit::cefr::A1 tarifit::woordsoort::ww tarifit::thema::muz"
"ddqiqa","minuut","minute","B2","ww","A1","tijd","auto","tarifit::cefr::A1 tarifit::woordsoort::ww tarifit::thema::tijd"
"ddra","maïs","corn","B1","ww","A2","eten & drinken","auto","tarifit::cefr::A2 tarifit::woordsoort::ww tarifit::thema::eten"
"ddubb","beer","bear","B2","ww","A2","dieren","auto","tarifit::cefr::A2 tarifit::woordsoort::ww tarifit::thema::dier"
"ddwa","Medicijnen","Medicines","B1","ww","A2","gezondheid","auto","tarifit::cefr::A2 tarifit::woordsoort::ww tarifit::thema::gez"
"ddɛɛwa","vermaning","admonition","B2","ww","B2","taal & school & communicatie","auto","tarifit::cefr::B2 tarifit::woordsoort::ww tarifit::thema::taal"
"deffaṛ / awaṛn (i)","achter","behind","B2","znw_m_ev","A1","plaats & richting & geografie","auto","tarifit::cefr::A1 tarifit::woordsoort::znw_m_ev tarifit::thema::pl"
"Dekk","Aanstampen, pletten","Tamping, crushing","B1","ww","B2","handelingen","auto","tarifit::cefr::B2 tarifit::woordsoort::ww tarifit::thema::doen"
"deřbuga","de trom","the drum","B2","znw","B1","muziek & kunst","auto","tarifit::cefr::B1 tarifit::woordsoort::znw tarifit::thema::muz"
"dixer","binnen","inside","B2","ww","A1","plaats & richting & geografie","auto","tarifit::cefr::A1 tarifit::woordsoort::ww tarifit::thema::pl"
"djaz'","honger hebben","be hungry","B2","ww","A1","eten & drinken","auto","tarifit::cefr::A1 tarifit::woordsoort::ww tarifit::thema::eten"
"djesseq","de lijm","the glue","B2","znw","A2","gereedschap & materiaal","auto","tarifit::cefr::A2 tarifit::woordsoort::znw tarifit::thema::ger"
"djiřeṯ","nacht","night","B2","ww","A1","tijd","auto","tarifit::cefr::A1 tarifit::woordsoort::ww tarifit::thema::tijd"
"duṯca/hamam","Badkamer","Bathroom","B2","ww","A1","huis & huishouden","auto","tarifit::cefr::A1 tarifit::woordsoort::ww tarifit::thema::huis"
"emsaḥ","Poetsen","To polish","B2","ww","A2","huis & huishouden","auto","tarifit::cefr::A2 tarifit::woordsoort::ww tarifit::thema::huis"
"esqiṛ","Klap","Clap","B2","ww","A2","handelingen","auto","tarifit::cefr::A2 tarifit::woordsoort::ww tarifit::thema::doen"
"ewc","geven","give","B1","ww","A1","handelingen","auto","tarifit::cefr::A1 tarifit::woordsoort::ww tarifit::thema::doen"
"exs","houden van","love","B1","ww","A1","gevoel & denken","auto","tarifit::cefr::A1 tarifit::woordsoort::ww tarifit::thema::gev"
"eŋw","rijp","ripe","B1","ww","A2","eten & drinken","auto","tarifit::cefr::A2 tarifit::woordsoort::ww tarifit::thema::eten"
"fa iḏennaḏ","eergisteren","the day before yesterday","C1","ww","A2","tijd","auto","tarifit::cefr::A2 tarifit::woordsoort::ww tarifit::thema::tijd"
"faacu","de arend","the eagle","B2","znw","B1","dieren","auto","tarifit::cefr::B1 tarifit::woordsoort::znw tarifit::thema::dier"
"faawicca","overmorgen","the day after tomorrow","C1","ww","A2","tijd","auto","tarifit::cefr::A2 tarifit::woordsoort::ww tarifit::thema::tijd"
"faayeḏ","krom","crooked","B2","ww","B1","eigenschappen & kleuren","auto","tarifit::cefr::B1 tarifit::woordsoort::ww tarifit::thema::eig"
"faaz","helder","bright","B1","ww","A2","eigenschappen & kleuren","auto","tarifit::cefr::A2 tarifit::woordsoort::ww tarifit::thema::eig"
"faaḏ","vegen","wipe","B1","ww","A2","huis & huishouden","auto","tarifit::cefr::A2 tarifit::woordsoort::ww tarifit::thema::huis"
"faaḥ","blij","pleased","B1","ww","A1","gevoel & denken","auto","tarifit::cefr::A1 tarifit::woordsoort::ww tarifit::thema::gev"
"familiya","Gezin","Family","C1","ww","A1","familie & mensen","auto","tarifit::cefr::A1 tarifit::woordsoort::ww tarifit::thema::fam"
"familya","familie","family","B2","ww","A1","familie & mensen","auto","tarifit::cefr::A1 tarifit::woordsoort::ww tarifit::thema::fam"
"faq","wakker","awake","B1","ww","A1","lichaam","auto","tarifit::cefr::A1 tarifit::woordsoort::ww tarifit::thema::lich"
"farina","zacht graan","soft grain","C1","ww","B2","landbouw & veeteelt & visserij","auto","tarifit::cefr::B2 tarifit::woordsoort::ww tarifit::thema::land"
"farmaj / kisu","kaas","cheese","B1","ww","A1","eten & drinken","auto","tarifit::cefr::A1 tarifit::woordsoort::ww tarifit::thema::eten"
"farmaɛia","Apotheek","Pharmacy","C1","ww","A2","gezondheid","auto","tarifit::cefr::A2 tarifit::woordsoort::ww tarifit::thema::gez"
"fařda","Rok","Skirt","B2","ww","A1","kleding & sieraad","auto","tarifit::cefr::A1 tarifit::woordsoort::ww tarifit::thema::kled"
"faṛṛeɣ","arm zijn","be poor","B2","ww","A2","eigenschappen & kleuren","auto","tarifit::cefr::A2 tarifit::woordsoort::ww tarifit::thema::eig"
"fewwaa","stomen","steaming","B2","ww","B1","eten & drinken","auto","tarifit::cefr::B1 tarifit::woordsoort::ww tarifit::thema::eten"
"fezz","kauwen","chew","B1","ww","B1","eten & drinken","auto","tarifit::cefr::B1 tarifit::woordsoort::ww tarifit::thema::eten"
"feǧeq","splitsen","split","B2","ww","B1","handelingen","auto","tarifit::cefr::B1 tarifit::woordsoort::ww tarifit::thema::doen"
"ffaa","verbergen","hide","B1","ww","A2","handelingen","auto","tarifit::cefr::A2 tarifit::woordsoort::ww tarifit::thema::doen"
"ffaḏ","dorst hebben","be thirsty","B1","ww","A2","eten & drinken","auto","tarifit::cefr::A2 tarifit::woordsoort::ww tarifit::thema::eten"
"ffeɣ","uitgaan, Buitengaan","going out, going out","B1","ww","A2","handelingen","auto","tarifit::cefr::A2 tarifit::woordsoort::ww tarifit::thema::doen"
"ffu-d","ochtend worden","be morning","B2","ww","B2","tijd","auto","tarifit::cefr::B2 tarifit::woordsoort::ww tarifit::thema::tijd"
"fhem","begrijpen","understand","B1","ww","A1","gevoel & denken","auto","tarifit::cefr::A1 tarifit::woordsoort::ww tarifit::thema::gev"
"ficṯa","Feest","Party","B2","ww","A1","samenleving & volken","auto","tarifit::cefr::A1 tarifit::woordsoort::ww tarifit::thema::sam"
"fiza","visum","visa","B1","ww","A2","vervoer & reizen","auto","tarifit::cefr::A2 tarifit::woordsoort::ww tarifit::thema::verv"
"fiřu","Draad","Wire","B1","ww","A2","gereedschap & materiaal","auto","tarifit::cefr::A2 tarifit::woordsoort::ww tarifit::thema::ger"
"fiɣaa / ḇusekka / ṯařefsa","slang","snake","B2","znw_v_ev","A2","dieren","auto","tarifit::cefr::A2 tarifit::woordsoort::znw_v_ev tarifit::thema::dier"
"fiṯu","de tak","the branch","B1","znw","A2","natuur & weer","auto","tarifit::cefr::A2 tarifit::woordsoort::znw tarifit::thema::nat"
"fles","nutteloos zijn","be useless","B1","ww","B2","eigenschappen & kleuren","auto","tarifit::cefr::B2 tarifit::woordsoort::ww tarifit::thema::eig"
"fluka / ayaṛṛabu","boot","boat","B2","znw_m_ev","A1","vervoer & reizen","auto","tarifit::cefr::A1 tarifit::woordsoort::znw_m_ev tarifit::thema::verv"
"fteř","couscous rollen","couscous rolls","B1","ww","B2","eten & drinken","auto","tarifit::cefr::B2 tarifit::woordsoort::ww tarifit::thema::eten"
"fuarma","vorm","shape","B2","ww","A1","overig","auto","tarifit::cefr::A1 tarifit::woordsoort::ww tarifit::thema::ov"
"fumaḏa","de zalf","the ointment","B2","znw","B1","gezondheid","auto","tarifit::cefr::B1 tarifit::woordsoort::znw tarifit::thema::gez"
"funara","Hoofddoek","Headscarf","B2","ww","A2","kleding & sieraad","auto","tarifit::cefr::A2 tarifit::woordsoort::ww tarifit::thema::kled"
"fus","hand","hand","B1","ww","A1","lichaam","auto","tarifit::cefr::A1 tarifit::woordsoort::ww tarifit::thema::lich"
"fuřcita","vork","fork","B2","ww","A1","eten & drinken","auto","tarifit::cefr::A1 tarifit::woordsoort::ww tarifit::thema::eten"
"fuḏ","knie","knee","B1","ww","A1","lichaam","auto","tarifit::cefr::A1 tarifit::woordsoort::ww tarifit::thema::lich"
"fuṛṣa","Kans, kans, gelegenheid","Opportunity, opportunity, opportunity","B2","ww","A2","overig","auto","tarifit::cefr::A2 tarifit::woordsoort::ww tarifit::thema::ov"
"fři / qess","snijden","cutting","B1","ww","A1","handelingen","auto","tarifit::cefr::A1 tarifit::woordsoort::ww tarifit::thema::doen"
"fřina","remmen","brakes","B2","ww","A2","vervoer & reizen","auto","tarifit::cefr::A2 tarifit::woordsoort::ww tarifit::thema::verv"
"fḏaṛ","Ontbijten","Have breakfast","B1","ww","A2","eten & drinken","auto","tarifit::cefr::A2 tarifit::woordsoort::ww tarifit::thema::eten"
"fḏeř","beter zijn","be better","B1","ww","A2","eigenschappen & kleuren","auto","tarifit::cefr::A2 tarifit::woordsoort::ww tarifit::thema::eig"
"fḏeḥ","drijven","to conduct","B1","ww","A2","handelingen","auto","tarifit::cefr::A2 tarifit::woordsoort::ww tarifit::thema::doen"
"fḏeḥ / ɛum","zwemmen","to swim","B1","ww","A1","handelingen","auto","tarifit::cefr::A1 tarifit::woordsoort::ww tarifit::thema::doen"
"fḥeř","seks hebben","have sex","B1","ww","B1","lichaam","auto","tarifit::cefr::B1 tarifit::woordsoort::ww tarifit::thema::lich"
"fṛan","die-en-die (M)","so-and-so (M)","B1","ww","B2","functiewoorden","auto","tarifit::cefr::B2 tarifit::woordsoort::ww tarifit::thema::gram"
"fṛinu","breuk","breakage","B2","ww","B1","gezondheid","auto","tarifit::cefr::B1 tarifit::woordsoort::ww tarifit::thema::gez"
"gaanez","opscheppen","to boast","B2","ww","B1","gevoel & denken","auto","tarifit::cefr::B1 tarifit::woordsoort::ww tarifit::thema::gev"
"garra","Oorlog","War","B2","ww","A1","samenleving & volken","auto","tarifit::cefr::A1 tarifit::woordsoort::ww tarifit::thema::sam"
"garru","de sigaret","the cigarette","B2","znw","A2","gezondheid","auto","tarifit::cefr::A2 tarifit::woordsoort::znw tarifit::thema::gez"
"Genoeg ergens van","Mewjud","Mewjud","C2","ww","B2","overig","check","tarifit::cefr::B2 tarifit::woordsoort::ww tarifit::thema::ov"
"gg","doen, maken, lijken op","do, make, resemble","B1","ww","A1","handelingen","auto","tarifit::cefr::A1 tarifit::woordsoort::ww tarifit::thema::doen"
"gg array","gehoorzamen","obey","C1","ww","B1","samenleving & volken","auto","tarifit::cefr::B1 tarifit::woordsoort::ww tarifit::thema::sam"
"gg arriḥṯ","stinken","stink","C1","ww","A2","lichaam","auto","tarifit::cefr::A2 tarifit::woordsoort::ww tarifit::thema::lich"
"gg imi ḏi","beschuldigen","accuse","C1","ww","B1","samenleving & volken","auto","tarifit::cefr::B1 tarifit::woordsoort::ww tarifit::thema::sam"
"gg řqařeḇ","smeden","forging","C1","ww","B2","werk & beroep & ambacht","auto","tarifit::cefr::B2 tarifit::woordsoort::ww tarifit::thema::werk"
"ggenfa","genezen, beter worden","heal, get better","C2","ww","B1","gezondheid","auto","tarifit::cefr::B1 tarifit::woordsoort::ww tarifit::thema::gez"
"ggw","bakken","baking","B1","ww","A1","eten & drinken","auto","tarifit::cefr::A1 tarifit::woordsoort::ww tarifit::thema::eten"
"ggw","kneden","knead","B1","ww","B1","eten & drinken","auto","tarifit::cefr::B1 tarifit::woordsoort::ww tarifit::thema::eten"
"ggw jenna","omhoog","upwards","C1","ww","A1","plaats & richting & geografie","auto","tarifit::cefr::A1 tarifit::woordsoort::ww tarifit::thema::pl"
"ggwej","ver","far","B2","ww","A1","plaats & richting & geografie","auto","tarifit::cefr::A1 tarifit::woordsoort::ww tarifit::thema::pl"
"ggweḏ","Bang (ww)","Afraid (ww)","B2","ww","A1","gevoel & denken","auto","tarifit::cefr::A1 tarifit::woordsoort::ww tarifit::thema::gev"
"ggʷeḏ","vrezen, bang zijn","to fear, to be afraid","B2","ww","B1","gevoel & denken","auto","tarifit::cefr::B1 tarifit::woordsoort::ww tarifit::thema::gev"
"gḏaa","dik","thick","B1","ww","A1","eigenschappen & kleuren","auto","tarifit::cefr::A1 tarifit::woordsoort::ww tarifit::thema::eig"
"henǧa","zodat, om te","so that, in order to","B2","ww","A2","functiewoorden","auto","tarifit::cefr::A2 tarifit::woordsoort::ww tarifit::thema::gram"
"hna","kalm zijn, in vrede zijn","be calm, be at peace","B1","ww","B1","gevoel & denken","auto","tarifit::cefr::B1 tarifit::woordsoort::ww tarifit::thema::gev"
"hudd","bedreigen","to threaten","B1","ww","B1","samenleving & volken","auto","tarifit::cefr::B1 tarifit::woordsoort::ww tarifit::thema::sam"
"Hulanḏa","Nederland","The Netherlands","B2","ww","A1","plaats & richting & geografie","auto","tarifit::cefr::A1 tarifit::woordsoort::ww tarifit::thema::pl"
"hwa","naar beneden gaan, afdalen","to go down, to descend","B1","ww","B1","handelingen","auto","tarifit::cefr::B1 tarifit::woordsoort::ww tarifit::thema::doen"
"hwen","makkelijk","comfortable","B1","ww","A1","eigenschappen & kleuren","auto","tarifit::cefr::A1 tarifit::woordsoort::ww tarifit::thema::eig"
"hweř","ruw (gedrag)","rough (behavior)","B1","ww","B1","eigenschappen & kleuren","auto","tarifit::cefr::B1 tarifit::woordsoort::ww tarifit::thema::eig"
"hřec","ziek","sick","B1","ww","A1","gezondheid","auto","tarifit::cefr::A1 tarifit::woordsoort::ww tarifit::thema::gez"
"hḏa","begeleiden (religieus), grazen","to guide (religious), to graze","B1","ww","B1","handelingen","auto","tarifit::cefr::B1 tarifit::woordsoort::ww tarifit::thema::doen"
"i","relatief-marker","relative-marker","A1","vz","B2","functiewoorden","auto","tarifit::cefr::B2 tarifit::woordsoort::vz tarifit::thema::gram"
"i / ɣaa","Aan (Naar)","On (To)","A1","vz","A1","functiewoorden","auto","tarifit::cefr::A1 tarifit::woordsoort::vz tarifit::thema::gram"
"iazza","de wesp","the wasp","B2","znw_m_mv","A2","dieren","auto","tarifit::cefr::A2 tarifit::woordsoort::znw_m_mv tarifit::thema::dier"
"iaḏ","aantrekken","attract","B1","ww","A2","kleding & sieraad","auto","tarifit::cefr::A2 tarifit::woordsoort::ww tarifit::thema::kled"
"iaḏen","tarwe","wheat","B2","znw_m_mv","A2","landbouw & veeteelt & visserij","auto","tarifit::cefr::A2 tarifit::woordsoort::znw_m_mv tarifit::thema::land"
"ibedd","Rechtop","Upright","B2","znw_m_mv","A2","plaats & richting & geografie","auto","tarifit::cefr::A2 tarifit::woordsoort::znw_m_mv tarifit::thema::pl"
"ibelas","Gesloten","Closed","B2","ww","A2","eigenschappen & kleuren","auto","tarifit::cefr::A2 tarifit::woordsoort::ww tarifit::thema::eig"
"icarri","ram","Ram","B1","znw_m_mv","B2","dieren","auto","tarifit::cefr::B2 tarifit::woordsoort::znw_m_mv tarifit::thema::dier"
"icc","hoorn","horn","B1","znw_m_mv","B1","dieren","auto","tarifit::cefr::B1 tarifit::woordsoort::znw_m_mv tarifit::thema::dier"
"iccaa","de vingernagel","the fingernail","B2","znw_m_mv","B1","lichaam","auto","tarifit::cefr::B1 tarifit::woordsoort::znw_m_mv tarifit::thema::lich"
"iccaṛ","Nagel","Nail","B2","znw_m_mv","A2","lichaam","auto","tarifit::cefr::A2 tarifit::woordsoort::znw_m_mv tarifit::thema::lich"
"icennaf","Geroosterd","Roasted","B2","znw_m_mv","B1","eten & drinken","auto","tarifit::cefr::B1 tarifit::woordsoort::znw_m_mv tarifit::thema::eten"
"iceṯṯar","Laat","Leave","B2","znw_m_mv","A1","tijd","auto","tarifit::cefr::A1 tarifit::woordsoort::znw_m_mv tarifit::thema::tijd"
"icfaa","de schildpad","the turtle","B2","znw_m_mv","A2","dieren","auto","tarifit::cefr::A2 tarifit::woordsoort::znw_m_mv tarifit::thema::dier"
"icɛeḇ","de vos","the fox","B2","znw_m_mv","A2","dieren","auto","tarifit::cefr::A2 tarifit::woordsoort::znw_m_mv tarifit::thema::dier"
"ifadden","de dij","the thigh","B2","znw_m_mv","B1","lichaam","auto","tarifit::cefr::B1 tarifit::woordsoort::znw_m_mv tarifit::thema::lich"
"ifassen","Handen","Hands","B2","ww","A1","lichaam","auto","tarifit::cefr::A1 tarifit::woordsoort::ww tarifit::thema::lich"
"ifis","hyena","hyena","B1","znw_m_mv","B1","dieren","auto","tarifit::cefr::B1 tarifit::woordsoort::znw_m_mv tarifit::thema::dier"
"ifri","grot","cave","B1","znw_m_mv","B1","natuur & weer","auto","tarifit::cefr::B1 tarifit::woordsoort::znw_m_mv tarifit::thema::nat"
"ifsus","Licht (gewicht)","Light (weight)","B2","znw_m_mv","A1","natuur & weer","auto","tarifit::cefr::A1 tarifit::woordsoort::znw_m_mv tarifit::thema::nat"
"iggʷey","ver zijn","be far","B2","ww","A2","plaats & richting & geografie","auto","tarifit::cefr::A2 tarifit::woordsoort::ww tarifit::thema::pl"
"ihseḏ","Jaloers, afgunst","Jealous, envy","B2","znw_m_mv","A2","gevoel & denken","auto","tarifit::cefr::A2 tarifit::woordsoort::znw_m_mv tarifit::thema::gev"
"iǧdi","zand","sand","B2","znw","A1","natuur & weer","auto","tarifit::cefr::A1 tarifit::woordsoort::znw tarifit::thema::nat"
"ijjen","één","one","B2","znw_m_mv","A1","getallen & hoeveelheid","auto","tarifit::cefr::A1 tarifit::woordsoort::znw_m_mv tarifit::thema::get"
"ikemmer / wje","klaar","finished","B1","znw_m_mv","A1","eigenschappen & kleuren","auto","tarifit::cefr::A1 tarifit::woordsoort::znw_m_mv tarifit::thema::eig"
"imendi","gerst, graan","barley, grain","C1","znw_m_mv","B1","landbouw & veeteelt & visserij","auto","tarifit::cefr::B1 tarifit::woordsoort::znw_m_mv tarifit::thema::land"
"imenɣi","Gevecht","Fight","B2","znw_m_mv","B1","samenleving & volken","auto","tarifit::cefr::B1 tarifit::woordsoort::znw_m_mv tarifit::thema::sam"
"imexṯan","de besnijdenis","the circumcision","B2","znw_m_mv","B2","religie & leven-dood","auto","tarifit::cefr::B2 tarifit::woordsoort::znw_m_mv tarifit::thema::rel"
"imez","de duim","the thumb","B1","znw_m_mv","A2","lichaam","auto","tarifit::cefr::A2 tarifit::woordsoort::znw_m_mv tarifit::thema::lich"
"imeǧařen","de testikels","the testicles","C1","znw_m_mv","B2","lichaam","auto","tarifit::cefr::B2 tarifit::woordsoort::znw_m_mv tarifit::thema::lich"
"imqeddef","de peddel","the paddle","C1","znw_m_mv","B2","vervoer & reizen","auto","tarifit::cefr::B2 tarifit::woordsoort::znw_m_mv tarifit::thema::verv"
"inaafeḏ","milt","spleen","B2","znw_m_mv","B2","lichaam","auto","tarifit::cefr::B2 tarifit::woordsoort::znw_m_mv tarifit::thema::lich"
"inaḏan","goede daden","good deeds","B2","znw_m_mv","B2","religie & leven-dood","auto","tarifit::cefr::B2 tarifit::woordsoort::znw_m_mv tarifit::thema::rel"
"infaa","de luis","the louse","B2","znw_m_mv","B1","dieren","auto","tarifit::cefr::B1 tarifit::woordsoort::znw_m_mv tarifit::thema::dier"
"ini","Vertellen, zeggen","Tell, say","A1","ww","A1","taal & school & communicatie","auto","tarifit::cefr::A1 tarifit::woordsoort::ww tarifit::thema::taal"
"insi","egel","hedgehog","B1","znw_m_mv","B1","dieren","auto","tarifit::cefr::B1 tarifit::woordsoort::znw_m_mv tarifit::thema::dier"
"inu","van mij","from me","B2","vnw_bez","A2","functiewoorden","auto","tarifit::cefr::A2 tarifit::woordsoort::vnw_bez tarifit::thema::gram"
"Iqda","Het is op","It's over","B1","znw_m_mv","B1","functiewoorden","auto","tarifit::cefr::B1 tarifit::woordsoort::znw_m_mv tarifit::thema::gram"
"iraa","spelen","to play","B1","ww","A1","overig","auto","tarifit::cefr::A1 tarifit::woordsoort::ww tarifit::thema::ov"
"iri (n) umaayuř","de kraag","the collar","C2","znw_m_mv","B1","kleding & sieraad","auto","tarifit::cefr::B1 tarifit::woordsoort::znw_m_mv tarifit::thema::kled"
"isawen","Behulpzaam","Helpful","B2","znw_m_mv","A2","eigenschappen & kleuren","auto","tarifit::cefr::A2 tarifit::woordsoort::znw_m_mv tarifit::thema::eig"
"isem","naam, naamgevingsdag","name, naming day","B1","znw_m_mv","A1","taal & school & communicatie","auto","tarifit::cefr::A1 tarifit::woordsoort::znw_m_mv tarifit::thema::taal"
"isiyni","de naald","the needle","B2","znw_m_mv","A2","kleding & sieraad","auto","tarifit::cefr::A2 tarifit::woordsoort::znw_m_mv tarifit::thema::kled"
"isḏeḥḥac","grappig","Funny","C1","znw_m_mv","A1","eigenschappen & kleuren","auto","tarifit::cefr::A1 tarifit::woordsoort::znw_m_mv tarifit::thema::eig"
"itsegweḏ","Eng","Scary","C1","znw_m_mv","A2","gevoel & denken","auto","tarifit::cefr::A2 tarifit::woordsoort::znw_m_mv tarifit::thema::gev"
"iwa","Dus, wel! (uitroep)","So, well! (exclamation)","B1","znw_m_mv","A1","functiewoorden","auto","tarifit::cefr::A1 tarifit::woordsoort::znw_m_mv tarifit::thema::gram"
"iwettḏen","de neet","the nee","C1","znw_m_mv","B2","gezondheid","auto","tarifit::cefr::B2 tarifit::woordsoort::znw_m_mv tarifit::thema::gez"
"iweṯ unẓaṛ","Regenen","Rain","C1","ww","A1","natuur & weer","auto","tarifit::cefr::A1 tarifit::woordsoort::ww tarifit::thema::nat"
"iwzan","ruw gemalen tarwe","roughly milled wheat","B2","znw_m_mv","B2","eten & drinken","auto","tarifit::cefr::B2 tarifit::woordsoort::znw_m_mv tarifit::thema::eten"
"iwḏan","mensen, het volk","people","B2","znw_m_mv","A1","familie & mensen","auto","tarifit::cefr::A1 tarifit::woordsoort::znw_m_mv tarifit::thema::fam"
"ixariqen","Leugen","Lie","C1","ww","A2","taal & school & communicatie","auto","tarifit::cefr::A2 tarifit::woordsoort::ww tarifit::thema::taal"
"ixef","zelf (reflexief)","self (reflexive)","B1","znw_m_mv","A1","functiewoorden","auto","tarifit::cefr::A1 tarifit::woordsoort::znw_m_mv tarifit::thema::gram"
"ixḏaa","kiezen","to elect","B2","ww","A1","handelingen","auto","tarifit::cefr::A1 tarifit::woordsoort::ww tarifit::thema::doen"
"ixṣa / yaṛez","Kapot","Broken","B1","znw_m_mv","A1","eigenschappen & kleuren","auto","tarifit::cefr::A1 tarifit::woordsoort::znw_m_mv tarifit::thema::eig"
"iyaaynen","dubbele zadeltas","double saddle bag","C1","znw_m_mv","B2","landbouw & veeteelt & visserij","auto","tarifit::cefr::B2 tarifit::woordsoort::znw_m_mv tarifit::thema::land"
"iyaǧen","het schouderblad","the shoulder blade","B2","znw_m_mv","B2","lichaam","auto","tarifit::cefr::B2 tarifit::woordsoort::znw_m_mv tarifit::thema::lich"
"iyyaa","veld","field","B2","znw_m_mv","A2","landbouw & veeteelt & visserij","auto","tarifit::cefr::A2 tarifit::woordsoort::znw_m_mv tarifit::thema::land"
"izaggwen","het schaamhaar","the pubic hair","C1","znw_m_mv","B2","lichaam","auto","tarifit::cefr::B2 tarifit::woordsoort::znw_m_mv tarifit::thema::lich"
"izi","vlieg","fly","B1","znw_m_mv","A2","dieren","auto","tarifit::cefr::A2 tarifit::woordsoort::znw_m_mv tarifit::thema::dier"
