a / wa / waḏ,This,A1,vnw_aanw,tarifit::cefr::A1 tarifit::woordsoort::vnw_aanw
aɛecci,afternoon,B2,znw_m_ev,tarifit::cefr::B2 tarifit::woordsoort::znw_m_ev
aɛeddis,belly,C1,znw_m_ev,tarifit::cefr::C1 tarifit::woordsoort::znw_m_ev
aɛeffan,"ugly, bad",B2,znw_m_ev,tarifit::cefr::B2 tarifit::woordsoort::znw_m_ev
aɛejmi,Calf,B2,znw_m_ev,tarifit::cefr::B2 tarifit::woordsoort::znw_m_ev
aɛekkaz,the walking stick,B2,znw_m_ev,tarifit::cefr::B2 tarifit::woordsoort::znw_m_ev
aɛeskari,the soldier,C1,znw_m_ev,tarifit::cefr::C1 tarifit::woordsoort::znw_m_ev
aɛessas,the guard,B2,znw_m_ev,tarifit::cefr::B2 tarifit::woordsoort::znw_m_ev
aɛezri,the young man,B2,znw_m_ev,tarifit::cefr::B2 tarifit::woordsoort::znw_m_ev
aɛna,Mean,B1,ww,tarifit::cefr::B1 tarifit::woordsoort::ww
aɛrab,Arab (M),B2,znw_m_ev,tarifit::cefr::B2 tarifit::woordsoort::znw_m_ev
aɛrua,the back,B2,znw_m_ev,tarifit::cefr::B2 tarifit::woordsoort::znw_m_ev
aɛrua n titt,the eyelid,C2,znw_m_ev,tarifit::cefr::C2 tarifit::woordsoort::znw_m_ev
aɛjeb,Like (like),B2,ww,tarifit::cefr::B2 tarifit::woordsoort::ww
aɛřa,"high, shallow",B1,znw_m_ev,tarifit::cefr::B1 tarifit::woordsoort::znw_m_ev
aɛḇan,the scale,B2,znw_m_ev,tarifit::cefr::B2 tarifit::woordsoort::znw_m_ev
aɣaaḏa,the mouse or rat,B2,znw_m_ev,tarifit::cefr::B2 tarifit::woordsoort::znw_m_ev
aɣarraf,the jug,B2,znw_m_ev,tarifit::cefr::B2 tarifit::woordsoort::znw_m_ev
aɣarraḇu,the ship,C1,znw_m_ev,tarifit::cefr::C1 tarifit::woordsoort::znw_m_ev
aɣarri,the deception,B2,znw_m_ev,tarifit::cefr::B2 tarifit::woordsoort::znw_m_ev
aɣenja,ladle,B2,znw_m_ev,tarifit::cefr::B2 tarifit::woordsoort::znw_m_ev
aɣesmia,the jaw,B2,znw_m_ev,tarifit::cefr::B2 tarifit::woordsoort::znw_m_ev
aɣezḏis,the edge,B2,znw_m_ev,tarifit::cefr::B2 tarifit::woordsoort::znw_m_ev
aɣi,milk,B1,znw_m_ev,tarifit::cefr::B1 tarifit::woordsoort::znw_m_ev
aɣrum,bread,A1,znw_m_ev,tarifit::cefr::A1 tarifit::woordsoort::znw_m_ev
aɣrum n tḇaɣřa,the mushroom,C2,znw_m_ev,tarifit::cefr::C2 tarifit::woordsoort::znw_m_ev
aɣrus,the tree trunk,B2,znw_m_ev,tarifit::cefr::B2 tarifit::woordsoort::znw_m_ev
aɣyay,note,B2,znw_m_ev,tarifit::cefr::B2 tarifit::woordsoort::znw_m_ev
aɣyuř,donkey,C1,znw_m_ev,tarifit::cefr::C1 tarifit::woordsoort::znw_m_ev
aḇaakiw,the goose,B2,znw_m_ev,tarifit::cefr::B2 tarifit::woordsoort::znw_m_ev
aḇaarcan,black,C1,znw_m_ev,tarifit::cefr::C1 tarifit::woordsoort::znw_m_ev
aḇarrani,the stranger,C1,znw_m_ev,tarifit::cefr::C1 tarifit::woordsoort::znw_m_ev
aḇennay,the mason,B2,znw_m_ev,tarifit::cefr::B2 tarifit::woordsoort::znw_m_ev
aḇeř,eyelash,B1,znw_m_ev,tarifit::cefr::B1 tarifit::woordsoort::znw_m_ev
aḇeǧaɛ,the mud,B2,znw_m_ev,tarifit::cefr::B2 tarifit::woordsoort::znw_m_ev
aḇeɛɛuc,the insect,B2,znw_m_ev,tarifit::cefr::B2 tarifit::woordsoort::znw_m_ev
aḇeḥri,the fisherman,B2,znw_m_ev,tarifit::cefr::B2 tarifit::woordsoort::znw_m_ev
aḇriḏ,"road, path",B2,znw_m_ev,tarifit::cefr::B2 tarifit::woordsoort::znw_m_ev
aḇrussi,Fine,B2,znw_m_ev,tarifit::cefr::B2 tarifit::woordsoort::znw_m_ev
aḇuhaři,crazy,B2,znw_m_ev,tarifit::cefr::B2 tarifit::woordsoort::znw_m_ev
aḏ,"Om, particle for future, wish",B1,ww,tarifit::cefr::B1 tarifit::woordsoort::ww
aḏaa,low,B1,znw_m_ev,tarifit::cefr::B1 tarifit::woordsoort::znw_m_ev
aḏaaɣař,blind,B2,znw_m_ev,tarifit::cefr::B2 tarifit::woordsoort::znw_m_ev
aḏan n tmuaṯ,worm,C2,znw_m_ev,tarifit::cefr::C2 tarifit::woordsoort::znw_m_ev
aḏarraf (n ihaakusen),the shoemaker,C2,znw_m_ev,tarifit::cefr::C2 tarifit::woordsoort::znw_m_ev
aḏbib,doctor,B2,znw_m_ev,tarifit::cefr::B2 tarifit::woordsoort::znw_m_ev
aḏef,"to enter, enter",B1,znw_m_ev,tarifit::cefr::B1 tarifit::woordsoort::znw_m_ev
aḏeggwař,the son-in-law (of a man),C1,znw_m_ev,tarifit::cefr::C1 tarifit::woordsoort::znw_m_ev
aḏeggʷař,"father-in-law, brother-in-law",C1,znw_m_ev,tarifit::cefr::C1 tarifit::woordsoort::znw_m_ev
aḏehcua,"deaf, deaf person",B2,znw_m_ev,tarifit::cefr::B2 tarifit::woordsoort::znw_m_ev
aḏes,near,B1,znw_m_ev,tarifit::cefr::B1 tarifit::woordsoort::znw_m_ev
aḏfeř,Snow,B2,znw_m_ev,tarifit::cefr::B2 tarifit::woordsoort::znw_m_ev
aḏiř / zzḇiḇ,Pigeon,B1,znw_m_ev,tarifit::cefr::B1 tarifit::woordsoort::znw_m_ev
aḏraa,mountain,B2,znw_m_ev,tarifit::cefr::B2 tarifit::woordsoort::znw_m_ev
aḏḇiḇ,the doctor,B2,znw_m_ev,tarifit::cefr::B2 tarifit::woordsoort::znw_m_ev
aḏḏar,Abyss (cliff),B2,znw_m_ev,tarifit::cefr::B2 tarifit::woordsoort::znw_m_ev
aḏḏuwex,Dizzy,B2,znw_m_ev,tarifit::cefr::B2 tarifit::woordsoort::znw_m_ev
aḥaabiḏ,dish of semolina with milk,B2,znw_m_ev,tarifit::cefr::B2 tarifit::woordsoort::znw_m_ev
aḥaamcaa,the lizard,C1,znw_m_ev,tarifit::cefr::C1 tarifit::woordsoort::znw_m_ev
aḥeddiq,the flame,B2,znw_m_ev,tarifit::cefr::B2 tarifit::woordsoort::znw_m_ev
aḥendǦia / aniyḇu,boy,B2,ww,tarifit::cefr::B2 tarifit::woordsoort::ww
aḥenjia,Child,B2,znw_m_ev,tarifit::cefr::B2 tarifit::woordsoort::znw_m_ev
aḥessen,shave,B2,ww,tarifit::cefr::B2 tarifit::woordsoort::ww
aḥeř,"be tired, get frustrated",B1,znw_m_ev,tarifit::cefr::B1 tarifit::woordsoort::znw_m_ev
aḥeﬀaf,Hairdresser,B2,znw_m_ev,tarifit::cefr::B2 tarifit::woordsoort::znw_m_ev
aḥurri,the free man,B2,znw_m_ev,tarifit::cefr::B2 tarifit::woordsoort::znw_m_ev
aḥuři,sheep,B2,znw_m_ev,tarifit::cefr::B2 tarifit::woordsoort::znw_m_ev
aṛigalo,Gift,B2,znw_m_ev,tarifit::cefr::B2 tarifit::woordsoort::znw_m_ev
aṛiḥṯ,Smell,B2,znw_m_ev,tarifit::cefr::B2 tarifit::woordsoort::znw_m_ev
aṛu,give birth,B1,znw_m_ev,tarifit::cefr::B1 tarifit::woordsoort::znw_m_ev
aṛumi,Christian,B2,ww,tarifit::cefr::B2 tarifit::woordsoort::ww
aṛṛebbi,God the Lord,B2,znw_m_ev,tarifit::cefr::B2 tarifit::woordsoort::znw_m_ev
aṛṛeḥmeṯ,kindness,C1,znw_m_ev,tarifit::cefr::C1 tarifit::woordsoort::znw_m_ev
aṛṛic,"fur, feathers",B2,znw_m_ev,tarifit::cefr::B2 tarifit::woordsoort::znw_m_ev
aṛṛiyalu,gift,C1,znw_m_ev,tarifit::cefr::C1 tarifit::woordsoort::znw_m_ev
aṛṛzeq,(financial) fortune,B2,znw_m_ev,tarifit::cefr::B2 tarifit::woordsoort::znw_m_ev
aṣebḥan / mliḥ / cen,Good,A2,voegw,tarifit::cefr::A2 tarifit::woordsoort::voegw
aṭṭas,"Very, Extreme",B2,znw_m_ev,tarifit::cefr::B2 tarifit::woordsoort::znw_m_ev
baba,Dad,A1,ww,tarifit::cefr::A1 tarifit::woordsoort::ww
backlit,Bicycle,B2,ww,tarifit::cefr::B2 tarifit::woordsoort::ww
barakah,to bless,B2,ww,tarifit::cefr::B2 tarifit::woordsoort::ww
Bared,Cool down,B2,ww,tarifit::cefr::B2 tarifit::woordsoort::ww
barrem,to drill,B2,ww,tarifit::cefr::B2 tarifit::woordsoort::ww
baṛkun,Balcony,B2,ww,tarifit::cefr::B2 tarifit::woordsoort::ww
baṭaṭa,potato (collective),B2,ww,tarifit::cefr::B2 tarifit::woordsoort::ww
baṭaṭa friṯ,Fries,C2,ww,tarifit::cefr::C2 tarifit::woordsoort::ww
baṭer,Free,B2,ww,tarifit::cefr::B2 tarifit::woordsoort::ww
belleɣ,transfer (orally).,B2,ww,tarifit::cefr::B2 tarifit::woordsoort::ww
bellɛ,"to close, to be closed",B2,ww,tarifit::cefr::B2 tarifit::woordsoort::ww
beḏḏ,Halt,B1,ww,tarifit::cefr::B1 tarifit::woordsoort::ww
Biljik,Belgium,B2,ww,tarifit::cefr::B2 tarifit::woordsoort::ww
billa,Closed,B2,ww,tarifit::cefr::B2 tarifit::woordsoort::ww
bitelma,Toilet (WC),B2,ww,tarifit::cefr::B2 tarifit::woordsoort::ww
biyaṯi,Ticket (ticket),B2,ww,tarifit::cefr::B2 tarifit::woordsoort::ww
bnaḏem,man,B2,ww,tarifit::cefr::B2 tarifit::woordsoort::ww
bu,"(denying particle), so for example he cannot tmazight",B2,ontk,tarifit::cefr::B2 tarifit::woordsoort::ontk
bu ṛečub,Grocer,C1,ww,tarifit::cefr::C1 tarifit::woordsoort::ww
buaxs,the grasshopper,B2,znw,tarifit::cefr::B2 tarifit::woordsoort::znw
buṛcu,Handbag,B2,ww,tarifit::cefr::B2 tarifit::woordsoort::ww
bṣṣaḥa,Enjoy your meal,B2,ww,tarifit::cefr::B2 tarifit::woordsoort::ww
ca (n),"some, a few",B2,ww,tarifit::cefr::B2 tarifit::woordsoort::ww
ca n marraṯ,sometimes,C2,ww,tarifit::cefr::C2 tarifit::woordsoort::ww
caacaa,the waterfall,B2,znw,tarifit::cefr::B2 tarifit::woordsoort::znw
caaf,tie up,B1,ww,tarifit::cefr::B1 tarifit::woordsoort::ww
caah,hate,B1,ww,tarifit::cefr::B1 tarifit::woordsoort::ww
caaz,"ploughing, ploughing, tilling the land",C2,znw,tarifit::cefr::C2 tarifit::woordsoort::znw
cab,turn gray,B1,ww,tarifit::cefr::B1 tarifit::woordsoort::ww
caccu,wooden frame of a sieve,B2,znw,tarifit::cefr::B2 tarifit::woordsoort::znw
calimu,the chimney,B2,znw,tarifit::cefr::B2 tarifit::woordsoort::znw
cappu,hat,B2,ww,tarifit::cefr::B2 tarifit::woordsoort::ww
cař,"soil, clay",B1,ww,tarifit::cefr::B1 tarifit::woordsoort::ww
cc,to eat,A2,ww,tarifit::cefr::A2 tarifit::woordsoort::ww
ccaa,to fill,B1,ww,tarifit::cefr::B1 tarifit::woordsoort::ww
ccaaq,the east,B2,znw,tarifit::cefr::B2 tarifit::woordsoort::znw
ccaaṛcaa,cackle,C1,ww,tarifit::cefr::C1 tarifit::woordsoort::ww
ccabab,youth,B2,ww,tarifit::cefr::B2 tarifit::woordsoort::ww
ccaheḏ,the witness,B2,znw,tarifit::cefr::B2 tarifit::woordsoort::znw
ccamal,North,B2,ww,tarifit::cefr::B2 tarifit::woordsoort::ww
ccaqua’,Ax,B2,ww,tarifit::cefr::B2 tarifit::woordsoort::ww
ccarika,company,B2,ww,tarifit::cefr::B2 tarifit::woordsoort::ww
ccař / ijḏi,Sand,B1,znw_m_mv,tarifit::cefr::B1 tarifit::woordsoort::znw_m_mv
ccaṛṛ,"anger, evil",B2,ww,tarifit::cefr::B2 tarifit::woordsoort::ww
ccekk,the doubt,B2,znw,tarifit::cefr::B2 tarifit::woordsoort::znw
ccencuna,tambourine with bells,C1,ww,tarifit::cefr::C1 tarifit::woordsoort::ww
cceḇřeq,wrinkled,B2,ww,tarifit::cefr::B2 tarifit::woordsoort::ww
cchaa,Month,B2,ww,tarifit::cefr::B2 tarifit::woordsoort::ww
cchaṛ n rebɛa,April,A2,znw_m_ev,tarifit::cefr::A2 tarifit::woordsoort::znw_m_ev
cchaṛ n sebɛa,July,A2,znw_m_ev,tarifit::cefr::A2 tarifit::woordsoort::znw_m_ev
cchaṛ n setta,June,A2,znw_m_ev,tarifit::cefr::A2 tarifit::woordsoort::znw_m_ev
cchaṛ n tesɛa,September,A2,znw_m_ev,tarifit::cefr::A2 tarifit::woordsoort::znw_m_ev
cchaṛ n tlata,March,A2,znw_m_ev,tarifit::cefr::A2 tarifit::woordsoort::znw_m_ev
cchaṛ n tmenya,August,A2,znw_m_ev,tarifit::cefr::A2 tarifit::woordsoort::znw_m_ev
cchaṛ n tnac,December,A2,znw_m_ev,tarifit::cefr::A2 tarifit::woordsoort::znw_m_ev
cchaṛ n tnayn,February,A2,znw_m_ev,tarifit::cefr::A2 tarifit::woordsoort::znw_m_ev
cchaṛ n waḥid,January,A2,znw_m_ev,tarifit::cefr::A2 tarifit::woordsoort::znw_m_ev
cchaṛ n xemsa,May,A2,znw_m_ev,tarifit::cefr::A2 tarifit::woordsoort::znw_m_ev
cchaṛ n ɛecra,October,A2,znw_m_ev,tarifit::cefr::A2 tarifit::woordsoort::znw_m_ev
cchaṛ n ḥḍac,November,A2,znw_m_ev,tarifit::cefr::A2 tarifit::woordsoort::znw_m_ev
ccitan,devil,B2,ww,tarifit::cefr::B2 tarifit::woordsoort::ww
ccmeɛ,candle,A2,znw,tarifit::cefr::A2 tarifit::woordsoort::znw
ccraḇ,the fermented drink,B2,znw,tarifit::cefr::B2 tarifit::woordsoort::znw
ccuklaṯ,Chocolate,B2,ww,tarifit::cefr::B2 tarifit::woordsoort::ww
ccwa/cnef,"roasting, grilling",B1,ww,tarifit::cefr::B1 tarifit::woordsoort::ww
ccɛaa,the body hair,B2,znw,tarifit::cefr::B2 tarifit::woordsoort::znw
ccɣeṛ,Occupation,B2,ww,tarifit::cefr::B2 tarifit::woordsoort::ww
cebbaa,to cling,B2,ww,tarifit::cefr::B2 tarifit::woordsoort::ww
cehrayen,two months,C1,ww,tarifit::cefr::C1 tarifit::woordsoort::ww
cek (m) / cem (v),you,B2,ww,tarifit::cefr::B2 tarifit::woordsoort::ww
cekkaa,the praise,B2,znw,tarifit::cefr::B2 tarifit::woordsoort::znw
cewwaa / cen / ṣbaḥ,Nice,B1,ww,tarifit::cefr::B1 tarifit::woordsoort::ww
cikli,Chewing gum,B2,ww,tarifit::cefr::B2 tarifit::woordsoort::ww
cmes,"packing, wrapping",B1,ww,tarifit::cefr::B1 tarifit::woordsoort::ww
cmez,to scratch,B1,ww,tarifit::cefr::B1 tarifit::woordsoort::ww
cneɛ,proud,B1,ww,tarifit::cefr::B1 tarifit::woordsoort::ww
cqa,care about (+ IO),B1,ww,tarifit::cefr::B1 tarifit::woordsoort::ww
cra,Rent,B1,ww,tarifit::cefr::B1 tarifit::woordsoort::ww
cuaḏu,flea,B2,ww,tarifit::cefr::B2 tarifit::woordsoort::ww
cway,a little (~cwayṯ),B1,znw,tarifit::cefr::B1 tarifit::woordsoort::znw
cway cway,slowly,C1,ww,tarifit::cefr::C1 tarifit::woordsoort::ww
cway cwayṯ,Careful,C1,ww,tarifit::cefr::C1 tarifit::woordsoort::ww
cxaa,snoring,B1,ww,tarifit::cefr::B1 tarifit::woordsoort::ww
cḏeḥ,dancing,B1,ww,tarifit::cefr::B1 tarifit::woordsoort::ww
cṛaḍa,Salad,B2,ww,tarifit::cefr::B2 tarifit::woordsoort::ww
daweḏha,Great,B2,ww,tarifit::cefr::B2 tarifit::woordsoort::ww
ddafeɛ,defend,B2,ww,tarifit::cefr::B2 tarifit::woordsoort::ww
ddariḇa,Tax,B2,ww,tarifit::cefr::B2 tarifit::woordsoort::ww
ddars,lesson,B2,ww,tarifit::cefr::B2 tarifit::woordsoort::ww
ddat,body,B1,ww,tarifit::cefr::B1 tarifit::woordsoort::ww
ddcaa,village,B2,ww,tarifit::cefr::B2 tarifit::woordsoort::ww
ddebbuz,the bat,B2,znw,tarifit::cefr::B2 tarifit::woordsoort::znw
ddegg,strange thing,B2,ww,tarifit::cefr::B2 tarifit::woordsoort::ww
ddellɛ,watermelon (collective),B2,ww,tarifit::cefr::B2 tarifit::woordsoort::ww
ddemneṯ,the savannah,B2,znw,tarifit::cefr::B2 tarifit::woordsoort::znw
ddenfiř,the dolphin,B2,znw,tarifit::cefr::B2 tarifit::woordsoort::znw
ddenya / lɛalam,world,B2,ww,tarifit::cefr::B2 tarifit::woordsoort::ww
ddexxan,smoke,B2,ww,tarifit::cefr::B2 tarifit::woordsoort::ww
ddez,"stomp, crush",B1,ww,tarifit::cefr::B1 tarifit::woordsoort::ww
ddhen aḥuři,ghee,C2,ww,tarifit::cefr::C2 tarifit::woordsoort::ww
ddin,religion,B1,znw_m_ev,tarifit::cefr::B1 tarifit::woordsoort::ww
ddiseṭ,pregnancy,B2,ww,tarifit::cefr::B2 tarifit::woordsoort::ww
ddisku,song,B2,ww,tarifit::cefr::B2 tarifit::woordsoort::ww
ddqiqa,minute,B2,ww,tarifit::cefr::B2 tarifit::woordsoort::ww
ddra,corn,B1,ww,tarifit::cefr::B1 tarifit::woordsoort::ww
ddubb,bear,B2,ww,tarifit::cefr::B2 tarifit::woordsoort::ww
ddwa,Medicines,B1,ww,tarifit::cefr::B1 tarifit::woordsoort::ww
ddɛɛwa,admonition,B2,ww,tarifit::cefr::B2 tarifit::woordsoort::ww
deffaṛ / awaṛn (i),behind,B2,znw_m_ev,tarifit::cefr::B2 tarifit::woordsoort::znw_m_ev
Dekk,"Tamping, crushing",B1,ww,tarifit::cefr::B1 tarifit::woordsoort::ww
deřbuga,the drum,B2,znw,tarifit::cefr::B2 tarifit::woordsoort::znw
dixer,inside,B2,ww,tarifit::cefr::B2 tarifit::woordsoort::ww
djaz',be hungry,B2,ww,tarifit::cefr::B2 tarifit::woordsoort::ww
djesseq,the glue,B2,znw,tarifit::cefr::B2 tarifit::woordsoort::znw
djiřeṯ,night,B2,ww,tarifit::cefr::B2 tarifit::woordsoort::ww
duṯca/hamam,Bathroom,B2,ww,tarifit::cefr::B2 tarifit::woordsoort::ww
emsaḥ,To polish,B2,ww,tarifit::cefr::B2 tarifit::woordsoort::ww
esqiṛ,Clap,B2,ww,tarifit::cefr::B2 tarifit::woordsoort::ww
ewc,give,B1,ww,tarifit::cefr::B1 tarifit::woordsoort::ww
exs,love,B1,ww,tarifit::cefr::B1 tarifit::woordsoort::ww
eŋw,ripe,B1,ww,tarifit::cefr::B1 tarifit::woordsoort::ww
fa iḏennaḏ,the day before yesterday,C1,ww,tarifit::cefr::C1 tarifit::woordsoort::ww
faacu,the eagle,B2,znw,tarifit::cefr::B2 tarifit::woordsoort::znw
faawicca,the day after tomorrow,C1,ww,tarifit::cefr::C1 tarifit::woordsoort::ww
faayeḏ,crooked,B2,ww,tarifit::cefr::B2 tarifit::woordsoort::ww
faaz,bright,B1,ww,tarifit::cefr::B1 tarifit::woordsoort::ww
faaḏ,wipe,B1,ww,tarifit::cefr::B1 tarifit::woordsoort::ww
faaḥ,pleased,B1,ww,tarifit::cefr::B1 tarifit::woordsoort::ww
familiya,Family,C1,ww,tarifit::cefr::C1 tarifit::woordsoort::ww
familya,family,B2,ww,tarifit::cefr::B2 tarifit::woordsoort::ww
faq,awake,B1,ww,tarifit::cefr::B1 tarifit::woordsoort::ww
farina,soft grain,C1,ww,tarifit::cefr::C1 tarifit::woordsoort::ww
farmaj / kisu,cheese,B1,ww,tarifit::cefr::B1 tarifit::woordsoort::ww
farmaɛia,Pharmacy,C1,ww,tarifit::cefr::C1 tarifit::woordsoort::ww
fařda,Skirt,B2,ww,tarifit::cefr::B2 tarifit::woordsoort::ww
faṛṛeɣ,be poor,B2,ww,tarifit::cefr::B2 tarifit::woordsoort::ww
fewwaa,steaming,B2,ww,tarifit::cefr::B2 tarifit::woordsoort::ww
fezz,chew,B1,ww,tarifit::cefr::B1 tarifit::woordsoort::ww
feǧeq,split,B2,ww,tarifit::cefr::B2 tarifit::woordsoort::ww
ffaa,hide,B1,ww,tarifit::cefr::B1 tarifit::woordsoort::ww
ffaḏ,be thirsty,B1,ww,tarifit::cefr::B1 tarifit::woordsoort::ww
ffeɣ,"going out, going out",B1,ww,tarifit::cefr::B1 tarifit::woordsoort::ww
ffu-d,be morning,B2,ww,tarifit::cefr::B2 tarifit::woordsoort::ww
fhem,understand,B1,ww,tarifit::cefr::B1 tarifit::woordsoort::ww
ficṯa,Party,B2,ww,tarifit::cefr::B2 tarifit::woordsoort::ww
fiza,visa,B1,ww,tarifit::cefr::B1 tarifit::woordsoort::ww
fiřu,Wire,B1,ww,tarifit::cefr::B1 tarifit::woordsoort::ww
fiɣaa / ḇusekka / ṯařefsa,snake,B2,znw_v_ev,tarifit::cefr::B2 tarifit::woordsoort::znw_v_ev
fiṯu,the branch,B1,znw,tarifit::cefr::B1 tarifit::woordsoort::znw
fles,be useless,B1,ww,tarifit::cefr::B1 tarifit::woordsoort::ww
fluka / ayaṛṛabu,boat,B2,znw_m_ev,tarifit::cefr::B2 tarifit::woordsoort::znw_m_ev
fteř,couscous rolls,B1,ww,tarifit::cefr::B1 tarifit::woordsoort::ww
fuarma,shape,B2,ww,tarifit::cefr::B2 tarifit::woordsoort::ww
fumaḏa,the ointment,B2,znw,tarifit::cefr::B2 tarifit::woordsoort::znw
funara,Headscarf,B2,ww,tarifit::cefr::B2 tarifit::woordsoort::ww
fus,hand,B1,ww,tarifit::cefr::B1 tarifit::woordsoort::ww
fuřcita,fork,B2,ww,tarifit::cefr::B2 tarifit::woordsoort::ww
fuḏ,knee,B1,ww,tarifit::cefr::B1 tarifit::woordsoort::ww
fuṛṣa,"Opportunity, opportunity, opportunity",B2,ww,tarifit::cefr::B2 tarifit::woordsoort::ww
fři / qess,cutting,B1,ww,tarifit::cefr::B1 tarifit::woordsoort::ww
fřina,brakes,B2,ww,tarifit::cefr::B2 tarifit::woordsoort::ww
fḏaṛ,Have breakfast,B1,ww,tarifit::cefr::B1 tarifit::woordsoort::ww
fḏeř,be better,B1,ww,tarifit::cefr::B1 tarifit::woordsoort::ww
fḏeḥ,to conduct,B1,ww,tarifit::cefr::B1 tarifit::woordsoort::ww
fḏeḥ / ɛum,to swim,B1,ww,tarifit::cefr::B1 tarifit::woordsoort::ww
fḥeř,have sex,B1,ww,tarifit::cefr::B1 tarifit::woordsoort::ww
fṛan,so-and-so (M),B1,ww,tarifit::cefr::B1 tarifit::woordsoort::ww
fṛinu,breakage,B2,ww,tarifit::cefr::B2 tarifit::woordsoort::ww
gaanez,to boast,B2,ww,tarifit::cefr::B2 tarifit::woordsoort::ww
garra,War,B2,ww,tarifit::cefr::B2 tarifit::woordsoort::ww
garru,the cigarette,B2,znw,tarifit::cefr::B2 tarifit::woordsoort::znw
Genoeg ergens van,Mewjud,C2,ww,tarifit::cefr::C2 tarifit::woordsoort::ww
gg,"do, make, resemble",B1,ww,tarifit::cefr::B1 tarifit::woordsoort::ww
gg array,obey,C1,ww,tarifit::cefr::C1 tarifit::woordsoort::ww
gg arriḥṯ,stink,C1,ww,tarifit::cefr::C1 tarifit::woordsoort::ww
gg imi ḏi,accuse,C1,ww,tarifit::cefr::C1 tarifit::woordsoort::ww
gg řqařeḇ,forging,C1,ww,tarifit::cefr::C1 tarifit::woordsoort::ww
ggenfa,"heal, get better",C2,ww,tarifit::cefr::C2 tarifit::woordsoort::ww
ggw,baking,B1,ww,tarifit::cefr::B1 tarifit::woordsoort::ww
ggw,knead,B1,ww,tarifit::cefr::B1 tarifit::woordsoort::ww
ggw jenna,upwards,C1,ww,tarifit::cefr::C1 tarifit::woordsoort::ww
ggwej,far,B2,ww,tarifit::cefr::B2 tarifit::woordsoort::ww
ggweḏ,Afraid (ww),B2,ww,tarifit::cefr::B2 tarifit::woordsoort::ww
ggʷeḏ,"to fear, to be afraid",B2,ww,tarifit::cefr::B2 tarifit::woordsoort::ww
gḏaa,thick,B1,ww,tarifit::cefr::B1 tarifit::woordsoort::ww
henǧa,"so that, in order to",B2,ww,tarifit::cefr::B2 tarifit::woordsoort::ww
hna,"be calm, be at peace",B1,ww,tarifit::cefr::B1 tarifit::woordsoort::ww
hudd,to threaten,B1,ww,tarifit::cefr::B1 tarifit::woordsoort::ww
Hulanḏa,The Netherlands,B2,ww,tarifit::cefr::B2 tarifit::woordsoort::ww
hwa,"to go down, to descend",B1,ww,tarifit::cefr::B1 tarifit::woordsoort::ww
hwen,comfortable,B1,ww,tarifit::cefr::B1 tarifit::woordsoort::ww
hweř,rough (behavior),B1,ww,tarifit::cefr::B1 tarifit::woordsoort::ww
hřec,sick,B1,ww,tarifit::cefr::B1 tarifit::woordsoort::ww
hḏa,"to guide (religious), to graze",B1,ww,tarifit::cefr::B1 tarifit::woordsoort::ww
i,relative-marker,A1,vz,tarifit::cefr::A1 tarifit::woordsoort::vz
i / ɣaa,On (To),A1,vz,tarifit::cefr::A1 tarifit::woordsoort::vz
iazza,the wasp,B2,znw_m_mv,tarifit::cefr::B2 tarifit::woordsoort::znw_m_mv
iaḏ,attract,B1,ww,tarifit::cefr::B1 tarifit::woordsoort::ww
iaḏen,wheat,B2,znw_m_mv,tarifit::cefr::B2 tarifit::woordsoort::znw_m_mv
ibedd,Upright,B2,znw_m_mv,tarifit::cefr::B2 tarifit::woordsoort::znw_m_mv
ibelas,Closed,B2,ww,tarifit::cefr::B2 tarifit::woordsoort::ww
icarri,Ram,B1,znw_m_mv,tarifit::cefr::B1 tarifit::woordsoort::znw_m_mv
icc,horn,B1,znw_m_mv,tarifit::cefr::B1 tarifit::woordsoort::znw_m_mv
iccaa,the fingernail,B2,znw_m_mv,tarifit::cefr::B2 tarifit::woordsoort::znw_m_mv
iccaṛ,Nail,B2,znw_m_mv,tarifit::cefr::B2 tarifit::woordsoort::znw_m_mv
icennaf,Roasted,B2,znw_m_mv,tarifit::cefr::B2 tarifit::woordsoort::znw_m_mv
iceṯṯar,Leave,B2,znw_m_mv,tarifit::cefr::B2 tarifit::woordsoort::znw_m_mv
icfaa,the turtle,B2,znw_m_mv,tarifit::cefr::B2 tarifit::woordsoort::znw_m_mv
icɛeḇ,the fox,B2,znw_m_mv,tarifit::cefr::B2 tarifit::woordsoort::znw_m_mv
ifadden,the thigh,B2,znw_m_mv,tarifit::cefr::B2 tarifit::woordsoort::znw_m_mv
ifassen,Hands,B2,ww,tarifit::cefr::B2 tarifit::woordsoort::ww
ifis,hyena,B1,znw_m_mv,tarifit::cefr::B1 tarifit::woordsoort::znw_m_mv
ifri,cave,B1,znw_m_mv,tarifit::cefr::B1 tarifit::woordsoort::znw_m_mv
ifsus,Light (weight),B2,znw_m_mv,tarifit::cefr::B2 tarifit::woordsoort::znw_m_mv
iggʷey,be far,B2,ww,tarifit::cefr::B2 tarifit::woordsoort::ww
ihseḏ,"Jealous, envy",B2,znw_m_mv,tarifit::cefr::B2 tarifit::woordsoort::znw_m_mv
ijjen,one,B2,znw_m_mv,tarifit::cefr::B2 tarifit::woordsoort::znw_m_mv
ikemmer / wje,finished,B1,znw_m_mv,tarifit::cefr::B1 tarifit::woordsoort::znw_m_mv
