tarifit,nl,en,gloss,hoofdstuk,les,bron,tags
marra iɣezran ssneɣ-ten,"alle rivieren, ik ken ze","all rivers, I know them",,10.3,18,boek p. 93,id:p93-03;context:universal-quantifiers;hoofdstuk:auto;les:auto
marra a daɣ-ineɣ,hij zal ons allemaal doden,he will kill all of us,,10.3,18,boek p. 93,id:p93-04;context:universal-quantifiers;hoofdstuk:auto;les:auto
yiwy-iten marra,hij nam hen allemaal mee,he took them all away,,10.3,18,boek p. 93,id:p93-05;context:universal-quantifiers;hoofdstuk:auto;les:auto
marra a d-tasent,jullie moeten allemaal komen,you must all come,,10.3,18,boek p. 93,id:p93-06;context:universal-quantifiers;hoofdstuk:auto;les:auto
deḥcent marra,zij lachten allemaal,they all laughed,,10.3,18,boek p. 93,id:p93-07;context:universal-quantifiers;hoofdstuk:auto;les:auto
tḥaay marra min ɣaas di ṯaddaaṯ,zij maalde alles wat zij thuis had,she ground everything that she had at home,,10.3,18,boek p. 93,id:p93-08;context:universal-quantifiers;hoofdstuk:auto;les:auto
itegg marra mayen texsed,hij doet alles wat jij wilt,he does everything you want,,10.3,18,boek p. 93,id:p93-09;context:universal-quantifiers;hoofdstuk:auto;les:auto
mařa tugid qaɛ,als je helemaal weigert,if you entirely refuse,,10.3,18,boek p. 93,id:p93-10;context:universal-quantifiers;hoofdstuk:auto;les:auto
cḥar qaɛ?,hoeveel in totaal?,how much in total?,,10.3,18,boek p. 93,id:p93-11;context:universal-quantifiers;hoofdstuk:auto;les:auto
mi c ɣa yegg qaɛ?,wat kan hij jou eigenlijk aandoen?,what can he do to you at all?,,10.3,18,boek p. 93,id:p93-12;context:universal-quantifiers;hoofdstuk:auto;les:auto
qa waa yaakent bu familya qaɛ,jij hebt helemaal geen familie,you do not have any family at all,,10.3,18,boek p. 94,id:p94-01;context:universal-quantifiers;hoofdstuk:auto;les:auto
waa ssinen qaɛ,zij weten het helemaal niet,they don’t know at all,,10.3,18,boek p. 94,id:p94-02;context:universal-quantifiers;hoofdstuk:auto;les:auto
aneggaru qaɛ,de allerlaatste,the very last,,10.3,18,boek p. 94,id:p94-03;context:universal-quantifiers;hoofdstuk:auto;les:auto
Wenni daysen ameqqṛan qaɛ,degene die de allergrootste was,the one who was the very biggest,,10.3,18,boek p. 94,id:p94-04;context:universal-quantifiers;hoofdstuk:auto;les:auto
qaɛ waa dasen-yenni ca,hij vertelde hun helemaal niets,he didn’t tell them anything at all,,10.3,18,boek p. 94,id:p94-05;context:universal-quantifiers;hoofdstuk:auto;les:auto
kuř aɛecci,elke avond,every evening,,10.3,18,boek p. 94,id:p94-06;context:universal-quantifiers;hoofdstuk:auto;les:auto
kuř ijjen yiwi tamɣaat nnes,ieder nam zijn vrouw daarheen mee,each one took his wife there,,10.3,18,boek p. 94,id:p94-07;context:universal-quantifiers;hoofdstuk:auto;les:auto
řexxu ḇḏa mani mma texsed,begin nu waar je maar wilt,now start wherever you want,,,18,boek p. 94,"id:p94-08;context:'whoever',-'wherever',-etc."
awyem-t-id waha mamec mma tegga,"breng haar hierheen, hoe ze ook is","bring her here, however she may be",,,18,boek p. 94,"id:p94-09;context:'whoever',-'wherever',-etc."
kuř mma yus-d wuccen itaf-it ttaaf nnes,"telkens wanneer Jakhals aankwam, vond hij hem naast zich","whenever Jackal arrived, he found him beside him",,,18,boek p. 94,"id:p94-10;context:'whoever',-'wherever',-etc."
iyezz-as) ṯřaṯa,(hij liet hem) drie (dingen) na,(he left him) three (things),,11.1,11,boek p. 95,id:p95-01;context:the-structure-of-the-noun-phrase;hoofdstuk:auto
ijjen ṯnayen n ddqayeq,"ongeveer twee minuten, zo'n twee minuten","about two minutes, some two minutes",,11.1,11,boek p. 95,id:p95-02;context:the-structure-of-the-noun-phrase;hoofdstuk:auto
cwayt n waman,een beetje water,a bit of water,,11.1,11,boek p. 95,id:p95-03;context:the-structure-of-the-noun-phrase;hoofdstuk:auto
marra fseskqq-nni,al die soldaten,all those soldiers,,11.1,11,boek p. 95,id:p95-04;context:the-structure-of-the-noun-phrase;hoofdstuk:auto
yemma-s-enni,die moeder van hem,that mother of his,,11.1,11,boek p. 95,id:p95-05;context:the-structure-of-the-noun-phrase;hoofdstuk:auto
baba-s n thenjiat,de vader (lett. haar vader) van het meisje,the father (lit. her father) of the girl,,11.1,11,boek p. 95,id:p95-06;context:the-structure-of-the-noun-phrase;hoofdstuk:auto
Wenni ameqqṛan,de grote,the big one,,11.1,11,boek p. 95,id:p95-07;context:the-structure-of-the-noun-phrase;hoofdstuk:auto
uma-s-enni ameqqṛan,die grote broer van hem,that big brother of his,,11.1,11,boek p. 95,id:p95-08;context:the-structure-of-the-noun-phrase;hoofdstuk:auto
yis-a n Yusef,dit paard van Yousef,this horse of Yousef,,11.1,11,boek p. 96,id:p96-01;context:the-structure-of-the-noun-phrase;hoofdstuk:auto
tsara ccariɛ-enni marra,zij liep door de hele straat,she walked through the entire street,,11.1,11,boek p. 96,id:p96-02;context:the-structure-of-the-noun-phrase;hoofdstuk:auto
yessi-s-enni n temza,deze dochters van de menseneetster (lett. deze haar dochters van),these daughters of the ogress’ (lit. these her daughters of),,11.1,11,boek p. 96,id:p96-03;context:the-structure-of-the-noun-phrase;hoofdstuk:auto
aṛṛzeq nnes marra,zijn hele vermogen,all his fortune,,11.1,11,boek p. 96,id:p96-04;context:the-structure-of-the-noun-phrase;hoofdstuk:auto
wecma-tsent-enni tameqqrant,deze oudere zus van hen,this older sister of theirs,,11.1,11,boek p. 96,id:p96-05;context:the-structure-of-the-noun-phrase;hoofdstuk:auto
paṭrun nsen ameqqṛan,hun grote baas,their big boss,,11.1,11,boek p. 96,id:p96-06;context:the-structure-of-the-noun-phrase;hoofdstuk:auto
paṭrun ameqqṛan nsen,hun grote baas,their big boss,,11.1,11,boek p. 96,id:p96-07;context:the-structure-of-the-noun-phrase;hoofdstuk:auto
tameqqrant (FS),de grote (vrouwelijk),the big one (feminine),,11.2,16,boek p. 96,id:p96-08;context:adjectives;hoofdstuk:auto;les:auto
n tmeqqrant (AS),van de grote (vrouwelijk),of the big one (feminine),,11.2,16,boek p. 96,id:p96-09;context:adjectives;hoofdstuk:auto;les:auto
n tmuat tameqqrant,van het grote land,of the big country,,11.2,16,boek p. 96,id:p96-10;context:adjectives;hoofdstuk:auto;les:auto
ṯammuaṯ tameqqrant,het grote land,the big country,,11.2,16,boek p. 97,id:p97-01;context:adjectives;hoofdstuk:auto;les:auto
tammuqt-a tameqqrant,dit grote land,this big country,,11.2,16,boek p. 97,id:p97-02;context:adjectives;hoofdstuk:auto;les:auto
ijjen weɣyur d ameqqṛan,een grote ezel,a big donkey,,11.2,16,boek p. 97,id:p97-03;context:adjectives;hoofdstuk:auto;les:auto
aɣyuř d ameqqṛan,een grote ezel,a big donkey,,11.2,16,boek p. 97,id:p97-04;context:adjectives;hoofdstuk:auto;les:auto
qama n jjdiḏ,het nieuwe bed,the new bed,,11.2,16,boek p. 97,id:p97-05;context:adjectives;hoofdstuk:auto;les:auto
ijjen qama d jjdiḏ,een nieuw bed,a new bed,,11.2,16,boek p. 97,id:p97-06;context:adjectives;hoofdstuk:auto;les:auto
aayaz-a nneɣni,deze andere man,this other man,,11.2,16,boek p. 97,id:p97-07;context:adjectives;hoofdstuk:auto;les:auto
w-enneyni,"de andere (ev, mnl)",the other (SG:M),,11.2,16,boek p. 97,id:p97-08;context:adjectives;hoofdstuk:auto;les:auto
t-enneyni,"de andere (ev, vrl)",the other (SG:F),,11.2,16,boek p. 97,id:p97-09;context:adjectives;hoofdstuk:auto;les:auto
i-nneɣni,"de anderen (mv, mnl)",the others (PL:M),,11.2,16,boek p. 97,id:p97-10;context:adjectives;hoofdstuk:auto;les:auto
ti-nneɣni,"de anderen (mv, vrl)",the others (PL:F),,11.2,16,boek p. 97,id:p97-11;context:adjectives;hoofdstuk:auto;les:auto
quci-nni yeɣran,de dure auto (lett. de auto die duur is),the expensive car (lit. the car that is expensive),,11.2,16,boek p. 97,id:p97-12;context:adjectives;hoofdstuk:auto;les:auto
ma ɣaak ca n ṯxaḏent am ta?,heb jij een ring zoals deze?,do you have a ring like this one?,,12.1,21,boek p. 98,id:p98-01;context:yes-no-questions;hoofdstuk:auto;les:auto
ma d cekk?,ben jij het?,is it you?,,12.1,21,boek p. 98,id:p98-02;context:yes-no-questions;hoofdstuk:auto;les:auto
ma iwden-d,zijn zij aangekomen?,have they arrived?,,12.1,21,boek p. 98,id:p98-03;context:yes-no-questions;hoofdstuk:auto;les:auto
d wa?,is het deze?,is it this one?,,12.1,21,boek p. 98,id:p98-04;context:yes-no-questions;hoofdstuk:auto;les:auto
mliḥ ca?,gaat het goed met je?,are you o.k.?,,12.1,21,boek p. 98,id:p98-05;context:yes-no-questions;hoofdstuk:auto;les:auto
wi dawem-t-yennan?,wie heeft het je verteld?,who told it to you?,,12.2,21,boek p. 98,id:p98-06;context:content-questions;hoofdstuk:auto;les:auto
wi yewta uḥenjia-nni?,wie heeft de jongen geslagen?,whom did the boy hit?,,12.2,21,boek p. 98,id:p98-07;context:content-questions;hoofdstuk:auto;les:auto
min das-tennid i Mimun?,wat heb je tegen Mimoun gezegd?,what did you say to Mimoun?,,12.2,21,boek p. 99,id:p99-01;context:content-questions;hoofdstuk:auto;les:auto
min taazzud?,wat zoek je?,what are you looking for?,,12.2,21,boek p. 99,id:p99-02;context:content-questions;hoofdstuk:auto;les:auto
mayen texsed?,wat wil je?,what do you want?,,12.2,21,boek p. 99,id:p99-03;context:content-questions;hoofdstuk:auto;les:auto
mi cem-ibeddren?,wat heeft jou veranderd?,what changed you?,,12.2,21,boek p. 99,id:p99-04;context:content-questions;hoofdstuk:auto;les:auto
mani ttirid?,waar woon je? (lett. waar ben je gewoonlijk?),where do you live? (lit. where are you’ habitually?),,12.2,21,boek p. 99,id:p99-05;context:content-questions;hoofdstuk:auto;les:auto
manis ɣa tadfed?,langs welke weg zal je binnengaan?,along which way will you enter?,,12.2,21,boek p. 99,id:p99-06;context:content-questions;hoofdstuk:auto;les:auto
manis d-tiwyed manay-a?,vanwaar heb je dit gebracht?,whence did you bring this?,,12.2,21,boek p. 99,id:p99-07;context:content-questions;hoofdstuk:auto;les:auto
meřmi ttettsed?,wanneer slaap je gewoonlijk?,when do you usually sleep?,,12.2,21,boek p. 99,id:p99-08;context:content-questions;hoofdstuk:auto;les:auto
mecḥař iwezzen?,hoeveel weegt het?,how much does it weigh?,,12.2,21,boek p. 99,id:p99-09;context:content-questions;hoofdstuk:auto;les:auto
mayemmi tetrud?,waarom huil je?,why are you crying?,,12.2,21,boek p. 99,id:p99-10;context:content-questions;hoofdstuk:auto;les:auto
mamec yegga manay-a?,hoe heeft hij dat gedaan?,how did he do that?,,12.2,21,boek p. 99,id:p99-11;context:content-questions;hoofdstuk:auto;les:auto
min zi tuḥḥred?,waarvan ben je moe geworden?,from what have you become tired?,,12.2,21,boek p. 99,id:p99-12;context:content-questions;hoofdstuk:auto;les:auto
mi xef ɣa teqqimed?,waarop ga je zitten?,what are you going to sit on?,,12.2,21,boek p. 100,id:p100-01;context:content-questions;hoofdstuk:auto;les:auto
wi ked d-tusid?,met wie ben je hierheen gekomen?,with whom have you come here?,,12.2,21,boek p. 100,id:p100-02;context:content-questions;hoofdstuk:auto;les:auto
maɣaa waa d-tusid,waarom ben je niet gekomen?,why didn’t you come?,,12.2,21,boek p. 100,id:p100-03;context:content-questions;hoofdstuk:auto;les:auto
man aayaz?,welke man?,which man?,,12.3,21,boek p. 100,id:p100-04;context:interrogation-on-nouns;hoofdstuk:auto;les:auto
mana waayaz-a?,wat voor man is dit?,what kind of man is this?,,12.3,21,boek p. 100,id:p100-05;context:interrogation-on-nouns;hoofdstuk:auto;les:auto
man wen d-yusin,wie is er gekomen? / wie is gekomen?,which one has come? / who has come?,,12.3,21,boek p. 100,id:p100-06;context:interrogation-on-nouns;hoofdstuk:auto;les:auto
ad xzaaɣ ma a d-yas,ik zal zien of hij komt,I shall see if he comes,,12.4,21,boek p. 100,id:p100-07;context:question-words-as-subordinators;hoofdstuk:auto;les:auto
mani ɣa naf a nessens,"waar we (een plek) vinden, zullen we overnachten",where we shall find (a place) we shall spend the night,,12.4,21,boek p. 100,id:p100-08;context:question-words-as-subordinators;hoofdstuk:auto;les:auto
aḏef-d,kom binnen!,come in!,,,08,boek p. 101,id:p101-01;context:the-aorist
"gg ixef nnem therced, tezzred di tmuat, tegged ijjen tzewda dayes řḥenni","doe alsof je ziek bent, ga op de grond liggen, en zet een bord met henna neer","pretend that you are sick, lie down on the earth, and put a plate with 7enna",,,08,boek p. 101,id:p101-02;context:the-aorist
a d-yas ɛad,"hij zal komen (denk ik), hij zou kunnen komen","he will come (I suppose), he may come",,,08,boek p. 101,id:p101-03;context:the-aorist
xa d-yas ɛad,hij zal zeker / ongetwijfeld komen,he will certainly / no doubt come,,,08,boek p. 101,id:p101-04;context:the-aorist
ṯiwecca ad yiri d ssefṯ,morgen is het zaterdag,tomorrow it will be Saturday,,,08,boek p. 102,id:p102-01;context:the-aorist
"di yum-lqiyama, ad yeḥkem qrrebbi x yewdan",op de Oordeelsdag zal de Heer over de mensen oordelen,"on Judgement Day, the Lord will judge over the people",,,08,boek p. 102,id:p102-02;context:the-aorist
a d-yas ɛad,"hij zal komen, hij zou kunnen komen","he will come, he may come",,,08,boek p. 102,id:p102-03;context:the-aorist
udaabbi a d~yas,hij zal waarschijnlijk komen,he will probably come,,,08,boek p. 102,id:p102-04;context:the-aorist
tewv-asen ad arren ibawen,zij gaf ze zodat zij bonen zouden planten (ad + A) (d.w.z. zij gaf hun bonen die zij moesten planten),she gave them so that they would plant (ad + A) beans (i.e. she gave them beans that they should plant),,,08,boek p. 102,id:p102-05;context:the-aorist
teggen řfaxaa bac ad ssengwen Imakla,zij legden houtskool neer om (has) eten te koken (ad + A),they put charcoal in order (has) to cook (ad + A) food,,,08,boek p. 102,id:p102-06;context:the-aorist
a naaḥet,laten we gaan,let’s go,,,08,boek p. 102,id:p102-07;context:the-aorist
ad aazun x yemma-tsen ad sseqsan,"zij zochten (de hele tijd) (ad + A) naar hun moeder, zij vroegen (de hele tijd) (ad + A)","they looked (all the time) (ad + A) for their mother, they asked (all the time) (ad + A)",,,08,boek p. 102,id:p102-08;context:the-aorist
"itawi ṯixsi-nni a t-yessidef, a t-id-yarr","hij bracht (l) de hele tijd het(zelfde) schaap, hij liet (ad + A) het naar binnen en bracht (ad + A) het terug","he brought (l) all the time the (same) sheep, he would let (ad + A) it in and bring (ad + A) it back",,,08,boek p. 103,id:p103-01;context:the-aorist
umi ɣa yemɣaa iqess-ayi ifassen,"toen hij groot geworden was (ad + A), sneed hij mijn handen af","when he had grown up (ad + A), he cut off my hands",,,08,boek p. 103,id:p103-02;context:the-aorist
ijjen yetkeyyaf ssbasa,iemand rookt gewoonlijk (l) hasjpijpen,somebody smokes habitually (l) hasheesh pipes,,4.3;13.1,07,boek p. 103,id:p103-03;context:the-imperfective;hoofdstuk:auto;les:auto
"asřem xmi yetmetta di řeḇḥaa, inettar-it-id řeḇḥaa","een vis, wanneer hij sterft (l) in de zee, gooit de zee (l) hem eruit (op het land)","a fish, when it dies (l) in the sea, the sea throws (l) it out (on the land)",,4.3;13.1,07,boek p. 103,id:p103-04;context:the-imperfective;hoofdstuk:auto;les:auto
a kis d-ireḥḥeg jjenn itegg qaɛ mayen texsed,een geest zal naar buiten komen (ad + A) naar jou die (l) alles doet wat je wilt,a ghost will come out (ad + A) to you who does (l) everything you want,,4.3;13.1,07,boek p. 103,id:p103-05;context:the-imperfective;hoofdstuk:auto;les:auto
yetqeǧab i teḥramin uřa d icten ma tus-az-d,"hij paste (de schoen) (l) bij de meisjes (één voor één), maar hij paste (P) geen van hen","he tried (the shoe) (l) with the girls (one after the other), but it did not fit (P) any of them",,4.3;13.1,07,boek p. 103,id:p103-06;context:the-imperfective;hoofdstuk:auto;les:auto
a das-ntic min zi ɣa tɛiced,wij zullen je altijd geven (l) waarvan je zult leven (ad + A),we will always give (l) you what you will live by (ad + A),,4.3;13.1,07,boek p. 103,id:p103-07;context:the-imperfective;hoofdstuk:auto;les:auto
amenni yeggua yeggua yeggua yetseqsa yetseqsa,zo ging hij (l) en ging (l) en ging (l) en vroeg (l) en vroeg (l),thus he went (l) and went (l) and went (l) and asked (l) and asked (l),,4.3;13.1,07,boek p. 103,id:p103-08;context:the-imperfective;hoofdstuk:auto;les:auto
ad ggmn ad gguan ad gguan,zij gingen (ad+1) en gingen (ad+1) en gingen (ad+1) (keer op keer),they would go (ad +1) and go (ad + 1) and go (ad +1) (time and again),,4.3;13.1,07,boek p. 104,id:p104-01;context:the-imperfective;hoofdstuk:auto;les:auto
"qa baba qa iteddez ari, aqzin qa yetzu",(qa) mijn vader is espartogras aan het stampen (qa l) en de hond is aan het blaffen (qa l),(qa) my father is pounding (qa l) esparto grass and the dog is barking (qa l),,4.3;13.1,07,boek p. 104,id:p104-02;context:the-imperfective;hoofdstuk:auto;les:auto
min da ttegged?,wat doe je (l) hier?,what are you doing (l) here?,,4.3;13.1,07,boek p. 104,id:p104-03;context:the-imperfective;hoofdstuk:auto;les:auto
yebda usaadun nnes itett-it,zijn muildier begon het te eten (l),his mule started to eat (l) it,,4.3;13.1,07,boek p. 104,id:p104-04;context:the-imperfective;hoofdstuk:auto;les:auto
yeqqim yeccat-it itazzer xas,hij begon hem te slaan (l) en achter hem aan te rennen (l) (en ging hier een tijdje mee door),he started to beat (l) him and run (l) after him (and went on doing this for a while),,4.3;13.1,07,boek p. 104,id:p104-05;context:the-imperfective;hoofdstuk:auto;les:auto
ijjen nnhaa yenna-as yinsi i wuccen,op een dag zei Egel (P) tegen Jakhals,one day. Hedgehog said (P) to Jackal,,4.3;13.1,07,boek p. 104,id:p104-06;context:the-perfective;hoofdstuk:auto;les:auto
iɛemmaa aɣarraf s waman,hij vulde [P] de kruik met water,he filled [P] the jug with water,,4.3;13.1,07,boek p. 105,id:p105-01;context:the-perfective;hoofdstuk:auto;les:auto
Mřič tudes,Melilla is dichtbij [P],Melilla is nearby [P],,4.3;13.1,07,boek p. 105,id:p105-02;context:the-perfective;hoofdstuk:auto;les:auto
iɛemmaa uɣarraf s waman,de kruik is vol water,the jug is full of water,,4.3;13.1,07,boek p. 105,id:p105-03;context:the-perfective;hoofdstuk:auto;les:auto
mařa teggid-ten a dac-wseɣ yeği,"als je ze uitvoert (P) (nl. bepaalde opdrachten), zal ik je mijn dochter geven (ad + A)","if you carry (P) them out (scil. certain assignments), I shall give (ad + A) you my daughter",,4.3;13.1,07,boek p. 105,id:p105-04;context:the-perfective;hoofdstuk:auto;les:auto
mri teɣrid iri tufid řxeḏmeṯ tesbeḥ,"als je gestudeerd had (P), zou je een goede baan gevonden hebben (P)","if you had studied (P), you would have found (P) a good job",,4.3;13.1,07,boek p. 105,id:p105-05;context:the-perfective;hoofdstuk:auto;les:auto
"aaweř, qa a d-yas baba, qa a s-ineɣ",vlucht! mijn vader zal komen [qa ad + A] en hij zal je doden [qa ad + A]!,flee! my father will come [qa ad + A] and he will kill [qa ad + A] you!,,8.1,09,boek p. 106,id:p106-01;context:qa-'present-relevance';hoofdstuk:auto;les:auto
qa a taaḥed yaa ḇarra,"pas op met naar buiten gaan!, ga niet naar buiten!","beware of going out!, do not go out!",,8.1,09,boek p. 106,id:p106-02;context:qa-'present-relevance';hoofdstuk:auto;les:auto
qa ad iraḥ ɣaa ḇarra,pas op dat hij niet naar buiten gaat!,beware that he goes out!,,8.1,09,boek p. 106,id:p106-03;context:qa-'present-relevance';hoofdstuk:auto;les:auto
qa a traḥed!,ga niet!,don’t go!,,8.1,09,boek p. 106,id:p106-04;context:qa-'present-relevance';hoofdstuk:auto;les:auto
qa a traḥed a t-tafed dinni,"je zal gaan, en hem daar vinden","you will go, and find him there",,8.1,09,boek p. 106,id:p106-05;context:qa-'present-relevance';hoofdstuk:auto;les:auto
baba qa yeggua-d,mijn vader komt eraan,my father is coming,,8.1,09,boek p. 106,id:p106-06;context:qa-'present-relevance';hoofdstuk:auto;les:auto
qa yetseddaɛ-aneɣ,hij stoort ons altijd (l) (en dat zorgt ervoor dat ik actie onderneem),he always disturbs (l) us (and that makes me take action),,8.1,09,boek p. 106,id:p106-07;context:qa-'present-relevance';hoofdstuk:auto;les:auto
qa iɛemmaa aɣarraf s waman,hij heeft [qa P] de kruik met water gevuld,he has filled [qa P] the jug with water,,8.1,09,boek p. 106,id:p106-08;context:qa-'present-relevance';hoofdstuk:auto;les:auto
qa yenna-am ujeǧid,de koning heeft [qa P] je verteld...,the king has told [qa P] you...,,8.1,09,boek p. 106,id:p106-09;context:qa-'present-relevance';hoofdstuk:auto;les:auto
Mřič qa tudes,Melilla is dichtbij,Melilla is close,,8.1,09,boek p. 107,id:p107-01;context:qa-'present-relevance';hoofdstuk:auto;les:auto
"ṯamza qa waa ttwiri, ttřam","de menseneetster kon niet zien [dit verklaart de situatie en is dus direct relevant voor de luisteraar], het was donker","the ogress could not see [this explains the situation and is thus immediately relevant to the hearer], it was dark",,8.1,09,boek p. 107,id:p107-02;context:qa-'present-relevance';hoofdstuk:auto;les:auto
qa waa ssineɣ ca,ik weet het (echt) niet,I (really) don't know,,8.1,09,boek p. 107,id:p107-03;context:qa-'present-relevance';hoofdstuk:auto;les:auto
qa tuɣa-yen ɣaam,jij had ze vroeger (lett. vroeger waren ze bij jou),you used to have them (lit. there used to be them with you),,8.1,09,boek p. 107,id:p107-04;context:qa-'present-relevance';hoofdstuk:auto;les:auto
neccin qa netɛis di Hulanḏa,"wij, (qa) wij wonen in Nederland","we, Iqa) we live in the Netherlands",,8.1,09,boek p. 107,id:p107-05;context:qa-'present-relevance';hoofdstuk:auto;les:auto
qa azyen ujenna yewda-d,(qa) de helft van de hemel is naar beneden gevallen,(qa) half of heavens has fallen down,,8.1,09,boek p. 107,id:p107-06;context:qa-'present-relevance';hoofdstuk:auto;les:auto
qa isennanen-ni qa teɛdu,"(qa) wat deze doornen betreft, (qa) zij is er net langsgekomen","(qa) concerning these thorns, (qa) she has just passed (them)",,8.1,09,boek p. 107,id:p107-07;context:qa-'present-relevance';hoofdstuk:auto;les:auto
zzman tuɣa ṯnayen n Ḍuru tsekkwa,vroeger was een dirham (lett. twee douro) veel waard,"in former times, a dirham (lit. two douro) used to be worth a lot",,8.2;13.3,09,boek p. 108,id:p108-01;context:tugha-'past';hoofdstuk:auto;les:auto
itaaḥ ɣaa tuatut-enni tuɣa yarra,hij ging vroeger naar de vijgenboom die hij (eerder) geplant had,he used to go to the fig tree that he had planted (before),,8.2;13.3,09,boek p. 108,id:p108-02;context:tugha-'past';hoofdstuk:auto;les:auto
tuɣa-t d ameddukeř inu,"hij was vroeger mijn vriend (maar is dat niet meer, bv. omdat hij overleden is)","he used to be my friend (but he no more is, e.g., because he died)",,8.2;13.3,09,boek p. 108,id:p108-03;context:tugha-'past';hoofdstuk:auto;les:auto
tuɣa-ayi di ṯaddaaṯ,ik was thuis,I was at home,,8.2;13.3,09,boek p. 108,id:p108-04;context:tugha-'past';hoofdstuk:auto;les:auto
"tinin, tuɣa sswejdent seksu","die (vrouwen), (tugha) zij hadden couscous klaargemaakt","those (women), (tugha) they had prepared cousous",,8.2;13.3,09,boek p. 108,id:p108-05;context:tugha-'past';hoofdstuk:auto;les:auto
maɛlik c-tuɣa d uma...,als jij mijn broer geweest was...,if you had been my brother...,,8.2;13.3,09,boek p. 108,id:p108-06;context:tugha-'past';hoofdstuk:auto;les:auto
mani c-tuɣa ?,waar was jij?,where were you ?,,8.2;13.3,09,boek p. 108,id:p108-07;context:tugha-'past';hoofdstuk:auto;les:auto
xzaa mamec daɣ-tuɣa yeqqaa,kijk wat hij vroeger tegen ons zei!,look what he used to say to us!,,8.2;13.3,09,boek p. 108,id:p108-08;context:tugha-'past';hoofdstuk:auto;les:auto
tuɣa waa yeccin,hij wist het niet,he didn’t know,,8.2;13.3,09,boek p. 108,id:p108-09;context:tugha-'past';hoofdstuk:auto;les:auto
d necc,ik ben het,it’s me,,13.4,03,boek p. 109,id:p109-01;context:'be'-constructions;hoofdstuk:auto
netta d amezzyan men,hij is de jongste van hen,he is the youngest of them,,13.4,03,boek p. 109,id:p109-02;context:'be'-constructions;hoofdstuk:auto
aayaz nnes d lmalik,haar man is de koning,her husband is the king,,13.4,03,boek p. 109,id:p109-03;context:'be'-constructions;hoofdstuk:auto
t tamɣaat < d tamɣaat,het is een vrouw,it is a woman,,13.4,03,boek p. 109,id:p109-04;context:'be'-constructions;hoofdstuk:auto
netta d aḏḇiḇ,hij is een dokter,he is a doctor,,13.4,03,boek p. 109,id:p109-05;context:'be'-constructions;hoofdstuk:auto
netta d wedbib,hij en de dokter,he and the doctor,,13.4,03,boek p. 109,id:p109-06;context:'be'-constructions;hoofdstuk:auto
qa ḏin ispunya,daar zijn Spanjaarden,there are Spaniards there,,13.4,03,boek p. 109,id:p109-07;context:'be'-constructions;hoofdstuk:auto
wanita nnes,dit hier is van hem,this here is his,,13.4,03,boek p. 109,id:p109-08;context:'be'-constructions;hoofdstuk:auto
ɣar-i ijjen ttumubin,ik heb een auto,I have a car,,13.4,03,boek p. 109,id:p109-09;context:'be'-constructions;hoofdstuk:auto
iri d aayaz,wees een man!,be a man!,,13.4,03,boek p. 110,id:p110-01;context:'be'-constructions;hoofdstuk:auto
ad yiri d aayaz,hij zal een man zijn,he will be a man,,13.4,03,boek p. 110,id:p110-02;context:'be'-constructions;hoofdstuk:auto
tiriɣ di tanja,ik woon (lett. ik ben altijd) in Tanger,i live (lit. I am always) in Tangier,,13.4,03,boek p. 110,id:p110-03;context:'be'-constructions;hoofdstuk:auto
aayaz-enni yeǧan d uma-s,de man die zijn broer is,the man who is his brother,,13.4,03,boek p. 110,id:p110-04;context:'be'-constructions;hoofdstuk:auto
mani teǧa Tfayetmas?,waar is Tlaytmas?,where is Tlaytmas?,,13.4,03,boek p. 110,id:p110-05;context:'be'-constructions;hoofdstuk:auto
qa d necc i yeǧan d Yusef,ik ben degene die Yousef is,it is me who is Yousef,,13.4,03,boek p. 110,id:p110-06;context:'be'-constructions;hoofdstuk:auto
rḥid i di ǧa pintura,de muur waarop verf zit,the wall on which there is paint,,13.4,03,boek p. 110,id:p110-07;context:'be'-constructions;hoofdstuk:auto
rḥid i di ǧa rkwazi,de muur waarin ramen zitten,the wall in which there are windows,,13.4,03,boek p. 110,id:p110-08;context:'be'-constructions;hoofdstuk:auto
Llah yeǧa,God bestaat,God exists,,13.4,03,boek p. 110,id:p110-09;context:'be'-constructions;hoofdstuk:auto
cem t tamezzyant,jij bent jong,you are young,,13.4,03,boek p. 111,id:p111-01;context:'be'-constructions;hoofdstuk:auto
qa-cem t tamezzyant,jij bent jong,you are young,,13.4,03,boek p. 111,id:p111-02;context:'be'-constructions;hoofdstuk:auto
uma-s qa-t di ṯaddaaṯ,zijn broer is thuis,his brother is at home,,13.4,03,boek p. 111,id:p111-03;context:'be'-constructions;hoofdstuk:auto
qa da ijj iɣeyḏ,hier is een geitenlammetje,there is a goat kid here,,13.4,03,boek p. 111,id:p111-04;context:'be'-constructions;hoofdstuk:auto
"Mřič, dayes ispunya","Melilla, daar zitten de Spanjaarden in","Melilla, there are the Spaniards in it",,13.4,03,boek p. 111,id:p111-05;context:'be'-constructions;hoofdstuk:auto
iruḥ ɣaa baba,hij ging naar mijn vader,he went to my father,,13.4,03,boek p. 111,id:p111-06;context:'be'-constructions;hoofdstuk:auto
"baba, ɣaa-s ttmenyaṯ",mijn vader heeft geld,my father has money,,13.4,03,boek p. 111,id:p111-07;context:'be'-constructions;hoofdstuk:auto
